,,,,,,,,,,,,,,,,,,,,,,,,,
,REPÚBLICA DOMINICANA,,,,,,,,,,,,,,Estación:,,,Central,,,,No. estación:,,78486,
,INSTITUTO DOMINCANO DE METEOROLOGÍA (INDOMET),,,,,,,,,,,,,,Lat:,,18,°,47'',N,Lon:,69,°,87'',W
,,,,,,,,,,,,,,,Altura: ,,,0014,,M,Día,1,Mes,MARZO,
,OBSERVACIONES DE SUPERFICIE SINÓPTICA Y AERONÁUTICA,,,,,,,,,,,,,,,,,,,,Año,2026,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,HORA LOCAL,N,CÚMULONIMBOS,,,NUBES BAJAS,,,,0.8 TOTAL ,NUBES MEDIAS,,,,0.8 TOTAL ,NUBES ALTAS,,,,0.8 TOTAL ,OBSERVACIONES SINÓPTICAS,,,,INICIALES DEL OBSERV.
,,,CANT,TIPO,ALTURA BASE               (M),CANT,TIPO,DIREC,ALTURA BASE               (M),,CANT,TIPO,DIREC,ALTURA BASE (M),,CANT,TIPO,DIREC,ALTURA                 BASE               (M),,LLUVIA (MM),TEMPS.           ,,ESTADO DEL SUELO,
,,,,,,,,,,,,,,,,,,,,,6H TOTAL,MAX,MIN,,
,1,,,,,,,,,,,,,,,,,,,,,,,,
,2,2,0,0,000,2,2,0,488,2,0,0,0,0000,2,0,0,0,0000,2,0.0,27.0,24.3,30///,KMC
,3,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,
,5,6,0,0,000,5,8,0,457,5,6,7,0,2134,8,0,0,0,0000,8,0.5,,,31///,KMC
,6,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,
,8,6,0,0,000,4,8,0,488,4,5,7,0,2438,8,0,0,0,0000,8,0.0,24.5,23.0,31///,YM
,9,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,
,11,5,0,0,000,4,2,2,610,4,3,3,0,2438,7,0,0,0,0000,7,0.0,,,30///,YM
,12,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,,,,,
,14,7,0,0,000,4,2,2,610,4,5,3,0,2438,8,0,0,0,0000,8,0.0,31.3,24.0,30///,YM
,15,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,,,,,,,,
,17,7,0,0,000,3,2,0,610,3,6,7,0,2438,8,0,0,0,0000,8,0.0,,,30///,YM
,18,,,,,,,,,,,,,,,,,,,,,,,,
,19,,,,,,,,,,,,,,,,,,,,,,,,
,20,6,0,0,000,5,8,0,610,5,5,7,0,2438,8,0,0,0,0000,8,0.0,31.0,27.0,30///,Y.G
,21,,,,,,,,,,,,,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,,,,,,,,,
,23,5,0,0,000,4,8,0,610,4,4,7,0,2438,8,0,0,0,0000,8,0000,,,30///,Y.G
,24,,,,,,,,,,,,,,,,,,,,,,,,
