,,,,,,,,,,,
,Bajas,,Medias,,Altas,,,Visibilidad,,,
,91,03,1829,56,5790,69,,00,000,41,041
,122,04,2134,57,6096,70,,01,001,42,042
,152,05,2438,58,6400,71,,02,002,43,043
,182,06,2740,59,6706,72,,03,003,44,044
,213,07,3045,60,7010,73,,04,004,45,045
,244,08,3350,61,7315,74,,05,005,46,046
,274,09,3655,62,7620,75,,06,006,47,047
,305,10,3960,63,7925,76,,07,007,48,048
,335,11,4265,64,8230,77,,08,008,49,049
,366,12,4570,65,8535,78,,09,009,50,050
,396,13,4875,66,8840,79,,10,010,56,060
,427,14,5180,67,9145,80,,11,011,57,070
,457,15,5485,68,10500,81,,12,012,58,080
,488,16,,,12000,82,,13,013,59,090
,518,17,,,13500,83,,14,014,60,100
,549,18,,,15000,84,,15,015,61,110
,579,19,,,16500,85,,16,016,62,120
,610,20,,,18000,86,,17,017,63,130
,640,21,,,19500,87,,18,018,64,140
,671,22,,,21000,88,,19,019,65,150
,701,23,,,22500,89,,20,020,66,160
,732,24,,,,,,21,021,67,170
,762,25,,,,,,22,022,68,180
,792,26,,,,,,23,023,69,190
,822,27,,,,,,24,024,70,200
,852,28,,,,,,25,025,71,210
,882,29,,,,,,26,026,72,220
,912,30,,,,,,27,027,73,230
,942,31,,,,,,28,028,74,240
,972,32,,,,,,29,029,75,250
,1002,33,,,,,,30,030,76,260
,1034,34,,,,,,31,031,77,270
,1067,35,,,,,,32,032,78,280
,1099,36,,,,,,33,033,79,290
,1121,37,,,,,,34,034,80,300
,1156,38,,,,,,35,035,,
,1189,39,,,,,,36,036,,
,1215,40,,,,,,37,037,,
,1256,41,,,,,,38,038,,
,1280,42,,,,,,39,039,,
,1311,43,,,,,,40,040,,
,1.341,44,,,,,,,,,
,1732,45,,,,,,,,,
,1402,46,,,,,,,,,
,1434,47,,,,,,,,,
,1466,48,,,,,,,,,
,1494,49,,,,,,,,,
,1524,50,,,,,,,,,
